rank,pack,name,category,Q,test_rankicir,monotonicity,ls_sharpe,composite_score,formula,columns
26,factor_pack_022,AM_sub_ts_median_clip_bff1a9fb,资金基础,0.888,0.4899,1.0,1.1315,0.7287,,"最高价_复权, 成交额, 前收盘价, 最低价_复权"
27,factor_pack_021,AM_div_ts_inverse_cv_volume_d69faf0f,量能动量,0.8717,0.4689,1.0,1.523,0.7273,,"成交量, 成交额"
28,factor_pack_029,AM_ts_maxmin_ts_midpoint_volume_32d023ee,量能动量,0.9011,-0.4646,-1.0,-1.0734,0.7257,,成交量
29,factor_pack_024,AM_ts_regression_beta_amplitude_ret_581e00f9,波动振幅,0.8912,-0.4428,-1.0,-1.3982,0.7251,,"最高价_复权, 收盘价_复权, 前收盘价, 最低价_复权"
30,factor_pack_022,AM_ts_maxmin_sub_low_27004162,量能动量,0.885,0.5312,0.7,1.5379,0.7231,,"成交量, 最低价_复权"
31,factor_pack_024,AM_ts_pct_change_signed_power_mul_6e2207c0,量能动量,0.9008,-0.4826,-0.9,-1.1245,0.7227,,成交量
32,factor_pack_023,AM_clip_sub_ts_pct_change_b8767106,量能动量,0.8999,-0.4891,-0.9,-1.0581,0.7219,,"最高价_复权, 成交量, 前收盘价, 最低价_复权"
33,factor_pack_027,AM_ts_pct_change_add_amount_3d19f079,资金动量,0.8976,-0.506,-0.9,-0.9384,0.7219,,成交额
34,factor_pack_024,AM_ts_pct_change_amount_e7440388,资金动量,0.8976,-0.506,-0.9,-0.9384,0.7219,,成交额
35,factor_pack_025,AM_ts_regression_beta_amplitude_ret_05be75b2,波动振幅,0.8894,-0.4396,-1.0,-1.3539,0.7217,,"最高价_复权, 收盘价_复权, 前收盘价, 最低价_复权"
36,factor_pack_027,AM_signed_power_ts_maxmin_volume_d96caecf,量能动量,0.8909,-0.5311,-0.7,-1.4036,0.7216,,成交量
37,factor_pack_026,AM_log_ts_pct_change_amount_3836ea63,资金动量,0.8884,-0.4947,-0.9,-1.1548,0.7211,,成交额
38,factor_pack_022,AM_ts_pct_change_neg_amount_de17d0c9,资金动量,0.8883,-0.4947,-0.9,-1.1548,0.7211,,成交额
39,factor_pack_022,AM_ts_maxmin_log_signed_power_1e956d80,量能动量,0.9081,-0.4959,-0.9,-0.8235,0.7203,,成交量
40,factor_pack_021,AM_signed_power_abs_amount_c2dc0fb9,资金基础,0.8898,-0.4347,-1.0,-1.3418,0.72,,成交额
41,factor_pack_026,AM_abs_neg_signed_power_af8ca0fe,资金基础,0.8898,-0.4347,-1.0,-1.3418,0.72,,成交额
42,factor_pack_022,AM_add_open_signed_power_7aeb28e0,资金基础,0.8898,-0.4347,-1.0,-1.3418,0.72,,"开盘价_复权, 成交额"
43,factor_pack_023,AM_add_amplitude_signed_power_01378434,资金基础,0.8898,-0.4347,-1.0,-1.3418,0.72,,"最高价_复权, 成交额, 前收盘价, 最低价_复权"
44,factor_pack_023,AM_signed_power_sub_amount_ccf1bcbf,资金基础,0.8898,-0.4347,-1.0,-1.3418,0.72,,"成交额, 最低价_复权"
45,factor_pack_029,AM_neg_neg_neg_858953d7,资金基础,0.8898,-0.4347,-1.0,-1.3418,0.72,,成交额
46,factor_pack_028,AM_sub_signed_power_amount_cf9a6c96,资金基础,0.8898,-0.4347,-1.0,-1.3418,0.72,,成交额
47,factor_pack_021,AM_add_signed_power_amount_8a9beef3,资金基础,0.8898,-0.4347,-1.0,-1.3418,0.72,,成交额
48,factor_pack_022,AM_add_signed_power_amount_08059a91,资金基础,0.8898,-0.4347,-1.0,-1.3418,0.72,,成交额
